=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
Fuzzy Controller initialized successfully;;;;;;;
Target: 220.0V; Range: ±1.0V; Output: 0.75-1.25 MI;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
472;2141;1636;;;;;
473;2132;1687;;;;;
474;2130;1713;;;;;
475;2129;1749;;;;;
476;2133;1750;;;;;
477;2131;1769;;;;;
478;2125;1758;;;;;
479;2123;1765;;;;;
480;2411;1158;;;;;
481;2413;1371;;;;;
482;2403;1514;;;;;
483;2410;1611;;;;;
484;2425;1961;;;;;
485;2409;1991;;;;;
486;2415;2019;;;;;
487;2405;2025;;;;;
488;2419;2040;;;;;
489;2407;2073;;;;;
490;2411;2072;;;;;
491;2409;2073;;;;;
492;2417;2067;;;;;
493;2413;2094;;;;;
494;2403;2086;;;;;
495;2413;2081;;;;;
496;2407;2080;;;;;
497;2413;2066;;;;;
498;2407;2080;;;;;
499;2413;2118;;;;;
500;2415;2158;;;;;
501;2407;2186;;;;;
502;2399;2160;;;;;
503;2407;2122;;;;;
504;2405;2090;;;;;
505;2415;2096;;;;;
506;2406;2084;;;;;
507;2419;2112;;;;;
508;2404;2123;;;;;
509;2410;2122;;;;;
510;2407;2119;;;;;
511;2405;2107;;;;;
512;2409;2119;;;;;
513;2407;2098;;;;;
514;2413;2115;;;;;
515;2405;2097;;;;;
516;2149;2653;;;;;
517;2153;2513;;;;;
518;2148;2435;;;;;
519;2140;2379;;;;;
520;2153;2312;;;;;
521;2151;2214;;;;;
522;2141;2156;;;;;
523;2145;2090;;;;;
524;2147;2052;;;;;
525;2143;2012;;;;;
526;2143;1979;;;;;
527;2142;1964;;;;;
528;2151;1944;;;;;
529;2147;1911;;;;;
530;2137;1879;;;;;
531;2142;1872;;;;;
532;1874;2408;;;;;
533;1863;2275;;;;;
534;1858;2164;;;;;
535;1871;2078;;;;;
536;1871;1908;;;;;
537;1866;1840;;;;;
538;1866;1810;;;;;
539;1871;1690;;;;;
540;1865;1532;;;;;
541;1868;1472;;;;;
542;1556;547;;;;;
543;1578;744;;;;;
544;1574;850;;;;;
545;1581;922;;;;;
546;1583;972;;;;;
547;1585;1011;;;;;
548;1573;1043;;;;;
549;1582;1078;;;;;
550;1577;1100;;;;;
551;1582;1131;;;;;
552;1579;1137;;;;;
553;1581;1143;;;;;
554;1300;1510;;;;;
555;1293;1490;;;;;
556;1285;1398;;;;;
557;1289;1348;;;;;
558;1286;1310;;;;;
559;1294;1234;;;;;
560;1253;1330;;;;;
561;1294;1191;;;;;
562;1284;1182;;;;;
563;1299;1158;;;;;
564;986;2130;;;;;
565;993;1832;;;;;
566;1013;1643;;;;;
567;1010;1519;;;;;
568;987;1792;;;;;
569;1023;1524;;;;;
570;1024;1406;;;;;
571;1015;1328;;;;;
572;1012;1591;;;;;
573;1023;1464;;;;;
574;1025;1338;;;;;
575;1023;1276;;;;;
576;1036;1270;;;;;
577;1023;1258;;;;;
578;1021;1210;;;;;
579;1029;1161;;;;;
580;760;1826;;;;;
581;753;1664;;;;;
582;747;1493;;;;;
583;753;1354;;;;;
584;761;1255;;;;;
585;747;1190;;;;;
586;743;1125;;;;;
587;742;1057;;;;;
588;751;1232;;;;;
589;745;1149;;;;;
590;749;1093;;;;;
591;744;1031;;;;;
592;755;1312;;;;;
593;744;1202;;;;;
594;748;1130;;;;;
595;737;1053;;;;;
596;744;1297;;;;;
597;746;1193;;;;;
598;747;1113;;;;;
599;742;1008;;;;;
600;751;1209;;;;;
601;742;1080;;;;;
602;749;1032;;;;;
603;745;984;;;;;
604;742;1245;;;;;
605;742;1150;;;;;
606;745;1064;;;;;
607;746;1003;;;;;
608;748;1218;;;;;
609;749;1129;;;;;
