=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
244;2445;1977;;;;;
245;2452;1968;;;;;
246;2453;1959;;;;;
247;2459;1948;;;;;
248;2459;1943;;;;;
249;2463;1936;;;;;
250;2468;1928;;;;;
251;2468;1921;;;;;
252;2468;1925;;;;;
253;2466;1917;;;;;
254;2457;1914;;;;;
255;2444;1657;;;;;
256;2419;1716;;;;;
257;2411;1755;;;;;
258;2411;1786;;;;;
259;2395;1809;;;;;
260;2376;1827;;;;;
261;2343;1841;;;;;
262;2325;1851;;;;;
263;2322;1843;;;;;
264;2320;1834;;;;;
265;2307;1821;;;;;
266;2293;1835;;;;;
267;2270;1846;;;;;
268;2245;1847;;;;;
269;2231;1846;;;;;
270;2215;1843;;;;;
271;2190;1824;;;;;
272;2189;1810;;;;;
273;2170;1819;;;;;
274;2152;1815;;;;;
275;2136;1806;;;;;
276;2110;1804;;;;;
277;2099;1782;;;;;
278;2069;1771;;;;;
279;2054;1746;;;;;
280;2032;1749;;;;;
281;2022;1987;;;;;
282;2019;1948;;;;;
283;1999;1893;;;;;
284;1977;1847;;;;;
285;1965;1800;;;;;
286;1896;1791;;;;;
287;1828;1770;;;;;
288;1775;1786;;;;;
289;1751;1736;;;;;
290;1750;1700;;;;;
291;1753;1666;;;;;
292;1737;1632;;;;;
293;1714;1606;;;;;
294;1666;1581;;;;;
295;1622;1578;;;;;
296;1597;1552;;;;;
297;1576;1516;;;;;
298;1553;1486;;;;;
299;1534;1474;;;;;
300;1514;1475;;;;;
301;1473;1457;;;;;
302;1448;1432;;;;;
303;1415;1401;;;;;
304;1390;1394;;;;;
305;1371;1378;;;;;
306;1339;1360;;;;;
307;1322;1331;;;;;
308;1291;1308;;;;;
309;1266;1310;;;;;
310;1235;1307;;;;;
311;1205;1300;;;;;
312;1185;1274;;;;;
313;1167;1247;;;;;
314;1131;1241;;;;;
315;1117;1230;;;;;
316;1111;1216;;;;;
317;1101;949;;;;;
318;1093;994;;;;;
319;1078;1012;;;;;
320;1074;1034;;;;;
321;1024;1075;;;;;
322;983;1100;;;;;
323;967;1090;;;;;
324;957;1071;;;;;
325;955;1053;;;;;
326;935;1050;;;;;
327;901;1036;;;;;
328;887;1046;;;;;
329;869;1044;;;;;
330;862;1024;;;;;
331;854;1004;;;;;
332;838;956;;;;;
333;828;908;;;;;
334;815;872;;;;;
335;805;825;;;;;
336;791;832;;;;;
337;780;804;;;;;
338;771;788;;;;;
339;767;805;;;;;
340;754;801;;;;;
341;743;810;;;;;
342;744;817;;;;;
343;735;820;;;;;
344;724;824;;;;;
345;725;823;;;;;
346;724;822;;;;;
347;718;829;;;;;
348;713;827;;;;;
349;706;832;;;;;
350;712;837;;;;;
351;714;842;;;;;
352;710;852;;;;;
353;716;866;;;;;
354;717;867;;;;;
355;733;1101;;;;;
356;754;1060;;;;;
357;753;1019;;;;;
358;761;986;;;;;
359;774;951;;;;;
360;810;927;;;;;
361;827;912;;;;;
362;852;905;;;;;
363;855;906;;;;;
364;855;915;;;;;
365;866;909;;;;;
366;877;917;;;;;
367;895;931;;;;;
368;927;927;;;;;
369;941;912;;;;;
370;959;925;;;;;
371;987;926;;;;;
372;987;941;;;;;
373;1017;950;;;;;
374;1025;943;;;;;
375;1054;923;;;;;
376;1066;945;;;;;
377;1083;948;;;;;
378;1087;964;;;;;
379;1115;971;;;;;
380;1143;988;;;;;
381;1159;1004;;;;;
382;1171;998;;;;;
383;1178;1007;;;;;
384;1205;1012;;;;;
385;1209;1024;;;;;
386;1284;1003;;;;;
387;1351;1011;;;;;
388;1407;1025;;;;;
389;1415;1047;;;;;
390;1429;1074;;;;;
391;1423;864;;;;;
392;1438;938;;;;;
393;1473;992;;;;;
394;1518;1040;;;;;
395;1555;1058;;;;;
396;1579;1092;;;;;
397;1608;1128;;;;;
398;1631;1173;;;;;
399;1651;1211;;;;;
400;1679;1222;;;;;
401;1707;1238;;;;;
402;1732;1243;;;;;
403;1763;1276;;;;;
404;1786;1306;;;;;
405;1810;1309;;;;;
406;1841;1322;;;;;
407;1857;1335;;;;;
408;1892;1360;;;;;
409;1912;1372;;;;;
410;1941;1372;;;;;
411;1966;1380;;;;;
412;1987;1404;;;;;
413;2011;1423;;;;;
414;2029;1449;;;;;
415;2053;1452;;;;;
416;2067;1467;;;;;
417;2068;1723;;;;;
418;2079;1697;;;;;
419;2093;1668;;;;;
420;2107;1650;;;;;
421;2155;1623;;;;;
422;2191;1591;;;;;
423;2212;1610;;;;;
424;2211;1625;;;;;
425;2220;1637;;;;;
426;2239;1630;;;;;
427;2276;1643;;;;;
428;2285;1661;;;;;
429;2300;1687;;;;;
430;2311;1696;;;;;
431;2326;1707;;;;;
432;2339;1747;;;;;
433;2349;1805;;;;;
434;2365;1856;;;;;
435;2375;1891;;;;;
436;2389;1926;;;;;
437;2391;1939;;;;;
438;2397;1965;;;;;
439;2407;1989;;;;;
440;2425;2006;;;;;
441;2429;2031;;;;;
442;2431;2029;;;;;
443;2453;2010;;;;;
444;2449;2001;;;;;
445;2457;1990;;;;;
